2016-12-15 12:39:27.934 -0700	Log		that took 0.71257 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:28.648 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:29.364 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:30.076 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:30.077 -0700	Log		that took 0.711858 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:30.788 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:31.503 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:32.218 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:32.219 -0700	Log		that took 0.71511 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:32.929 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:33.645 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:34.358 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:34.359 -0700	Log		that took 0.713319 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:35.072 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:35.785 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:36.498 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:36.499 -0700	Log		that took 0.713615 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:37.215 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:37.930 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:38.641 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:38.642 -0700	Log		that took 0.711337 seconds	6	on_untitled5	Untitled5.script
